Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
2150.0	600.0	1.474244	-14.7991314	-16.1318779
2150.0	700.0	1.49407303	-17.2335682	-18.5884819
2150.0	800.0	1.51655734	-19.6072063	-20.9523697
2150.0	900.0	1.54160404	-21.9118729	-23.2617989
2150.0	1000.0	1.56909323	-24.1432266	-25.459198
2200.0	100.0	1.4514271	-1.92529798	-2.98467183
2200.0	200.0	1.45642066	-4.47948456	-5.64147186
2200.0	300.0	1.46445262	-7.01852226	-8.26059055
2200.0	400.0	1.47546458	-9.5326376	-10.8298149
2200.0	500.0	1.48938191	-12.0126715	-13.3988476
2200.0	600.0	1.50611925	-14.4497356	-15.8471088
2200.0	700.0	1.52557218	-16.8369179	-18.223259
2200.0	800.0	1.54763412	-19.1675606	-20.5439529
2200.0	900.0	1.57221985	-21.4332523	-22.8145142
