Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
700.0	-89.0	-80.0	2100.0	100.0	2.33099246	(-5.066060859776561e-07-9.979699703371428e-07j)	-88.404808	-88.3807144	1	1
700.0	-89.0	-80.0	2100.0	100.0	2.33097434	(9.659287624152525e-07+1.0060621448809413e-06j)	-88.3867722	-88.3620453	1	1
700.0	-89.0	-80.0	2100.0	100.0	1.84453022	(4.752225991195715e-07+1.3746166456027881e-05j)	-87.9719467	87.9427032	1	0
700.0	-89.0	-80.0	2100.0	100.0	1.84453917	(3.57932423237432e-05+4.693204934319166e-06j)	-87.9539108	87.9246902	1	0
700.0	-89.0	-80.0	2200.0	100.0	2.26601481	(1.7404935914633972e-06+1.563616351072883e-06j)	-88.3507004	-88.3247147	1	1
700.0	-89.0	-80.0	2200.0	100.0	2.26598382	(3.3853701931941316e-07-2.7565508789119305e-07j)	-88.3326645	-88.3034668	1	1
700.0	-89.0	-80.0	2200.0	100.0	1.90945435	(6.3919869533174344e-06+7.851329255108964e-06j)	-88.0440903	88.0147934	1	0
700.0	-89.0	-80.0	2200.0	100.0	1.90947199	(-1.0690882360693802e-05-3.307986776831058e-05j)	-88.0260544	87.9967575	1	0
700.0	-89.0	-80.0	2300.0	100.0	2.2011683	(-4.242407520611097e-08+2.283307363268579e-07j)	-88.3146286	-88.2850571	1	1
700.0	-89.0	-80.0	2300.0	100.0	2.20114636	(1.3322872505243467e-06-2.5071990183442845e-06j)	-88.2965927	-88.2663651	1	1
700.0	-89.0	-80.0	2300.0	100.0	1.97435546	(-2.7838484492731524e-05-2.4080454359047463e-05j)	-88.0981979	88.0662003	1	0
700.0	-89.0	-80.0	2300.0	100.0	1.97436059	(-3.593910279215618e-06+3.3402964016260105e-07j)	-88.080162	88.0481644	1	0
700.0	-89.0	-80.0	2400.0	100.0	2.13633299	(2.432551129396329e-07+3.9409959252214326e-07j)	-88.2605209	-88.2289886	1	1
700.0	-89.0	-80.0	2400.0	100.0	2.13632417	(-2.173508616418521e-06+1.97807111844137e-06j)	-88.242485	-88.2102966	1	1
700.0	-89.0	-80.0	2400.0	100.0	2.03913951	(1.3108565613806392e-05+1.0109506067236614e-06j)	-88.1703415	88.1383591	1	0
700.0	-89.0	-80.0	2400.0	100.0	2.03915596	(-1.8788396495697044e-05-1.3831764473173923e-05j)	-88.1523056	88.1203232	1	0
1100.0	-89.0	-80.0	1400.0	100.0	3.0509696	(4.6277108675096564e-09+2.2614764520567856e-07j)	-88.7835693	-88.7797852	1	1
1100.0	-89.0	-80.0	1400.0	100.0	3.05094481	(4.385993971251455e-07-4.881810882034545e-07j)	-88.7655334	-88.7612457	1	1
1100.0	-89.0	-80.0	1400.0	100.0	1.6511761	(4.9973273008112574e-05+3.512180451974194e-05j)	-87.7014008	87.6958542	1	0
1100.0	-89.0	-80.0	1400.0	100.0	1.65118635	(4.309188338902699e-06-6.6737539458274416e-06j)	-87.6833649	87.678009	1	0
1100.0	-89.0	-80.0	1500.0	100.0	2.98547792	(-7.109131632363344e-07-1.765599341169144e-07j)	-88.7474976	-88.7426987	1	1
1100.0	-89.0	-80.0	1500.0	100.0	2.9854722	(-9.819535873081976e-08-2.1474991181035953e-07j)	-88.7294617	-88.7224731	1	1
1100.0	-89.0	-80.0	1500.0	100.0	1.71661115	(9.144631892660576e-06+5.007123852367334e-05j)	-87.7915802	87.7821808	1	0
1100.0	-89.0	-80.0	1500.0	100.0	1.71661627	(9.123719260825179e-06+6.054901047191316e-06j)	-87.7735443	87.7674026	1	0
1100.0	-89.0	-80.0	1600.0	100.0	2.92013907	(1.963725811053817e-07+1.23462475494624e-08j)	-88.7294617	-88.7224731	1	1
1100.0	-89.0	-80.0	1600.0	100.0	2.92010617	(4.2895897324393266e-07-7.521225183169889e-07j)	-88.7114258	-88.7039032	1	1
